,y,y_test
0,2,0
1,4,6
2,2,0
3,4,6
4,2,0
5,3,4
6,2,3
7,3,4
8,3,4
9,3,4
10,2,0
11,6,4
12,6,6
13,2,0
14,3,3
15,3,4
16,3,4
17,6,4
18,3,4
19,6,6
20,3,4
21,2,3
22,4,6
23,2,3
24,8,4
25,4,6
26,4,6
27,6,6
28,6,6
29,3,4
30,3,3
31,3,4
32,6,4
33,6,6
34,4,6
35,6,4
36,4,6
37,0,4
38,4,6
39,4,6
40,2,3
41,3,4
42,2,3
43,3,4
44,6,4
45,3,4
46,6,6
47,6,6
48,6,4
49,4,6
50,4,6
51,6,4
52,3,4
53,2,3
54,3,4
55,3,4
56,0,4
57,6,4
58,3,4
59,4,6
60,8,6
61,2,3
62,4,6
63,4,6
64,3,4
65,2,3
66,3,4
67,6,6
68,4,6
69,3,4
70,3,4
71,0,4
72,3,3
73,3,4
74,6,4
75,3,3
76,2,3
77,3,4
78,0,4
79,3,4
80,2,3
81,3,4
82,3,4
83,2,0
84,4,6
85,3,4
86,2,0
87,0,4
88,0,4
89,2,0
90,0,4
91,4,6
92,4,6
93,6,6
94,4,6
95,3,4
96,3,4
97,6,4
98,3,4
99,3,3
100,6,6
101,0,4
102,3,4
103,3,4
104,2,0
105,2,0
106,4,6
107,3,3
108,2,3
109,2,3
110,0,4
111,6,4
112,3,4
113,2,0
114,2,0
115,0,4
116,7,4
117,0,4
118,4,4
119,6,4
120,4,4
121,4,4
122,2,0
123,3,6
124,3,6
125,0,0
126,3,6
127,2,0
128,7,0
129,2,0
130,2,0
131,2,4
132,7,4
133,7,4
134,6,4
135,0,4
136,7,0
137,4,4
138,0,4
139,7,4
140,4,0
141,7,4
142,0,3
143,7,4
144,7,0
145,2,0
146,7,4
147,7,4
148,0,4
149,2,0
150,0,0
151,6,4
152,4,4
153,2,0
154,7,0
155,7,4
156,3,6
157,7,4
158,4,6
159,4,4
160,3,6
161,2,4
162,7,4
163,7,4
164,0,0
165,3,6
166,3,6
167,7,4
168,3,4
169,7,4
170,0,0
171,6,4
172,2,0
173,0,4
174,3,6
175,2,0
176,7,4
177,0,0
178,7,4
179,7,0
180,2,0
181,7,4
182,4,6
183,0,3
184,0,4
185,2,0
186,7,4
187,2,0
188,7,4
189,2,0
190,0,4
191,7,4
192,0,4
193,4,0
194,4,0
195,0,4
196,0,3
197,4,4
198,2,4
199,7,4
200,2,0
201,7,4
202,2,0
203,0,4
204,0,3
205,0,0
206,7,4
207,7,4
208,4,4
209,7,0
210,7,4
211,0,4
212,4,4
213,7,4
214,4,4
215,0,0
216,3,4
217,2,0
218,4,6
219,4,0
220,0,4
221,7,4
222,2,0
223,7,4
224,7,4
225,2,0
226,2,0
227,5,6
228,0,4
229,7,4
230,7,4
231,0,6
232,4,0
233,3,6
234,6,6
235,3,6
236,4,0
237,0,3
238,0,4
239,5,4
